OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,DISCOVERY_DATE_CONVERTED,CONT_DATE_CONVERTED
2524,1433729,FS-1492084,FED,FS-FIRESTAT,FS,USORRSF,Rogue River-Siskiyou National Forest,0610A,Rogue River-Siskiyou National Forest,029,029,F9QR,OAK FLAT,OR-RSF-010232,Oak Flat,OR4242312371620100813,OAK FLAT,,2010,225,0824,9.0,Miscellaneous,263,1300,7494.0,G,42.3994444,-123.738333,5.0,USFS,OR,033,033,Josephine,Point,2010-08-13,2010-09-20
2525,1433844,FS-1492213,FED,FS-FIRESTAT,FS,USAZASF,Apache-Sitgreaves National Forest,0301,Apache-Sitgreaves National Forest,125,25,FY4Y,TURKEY,,,AZ3414910941720101120,TURKEY,,2010,324,1330,9.0,Miscellaneous,326,0800,9005.1,G,34.105,-109.475278,5.0,USFS,AZ,001,001,Apache,Point,2010-11-20,2010-11-22
2526,1434030,FS-1492406,FED,FS-FIRESTAT,FS,USWYBTF,Bridger-Teton National Forest,0403,Bridger-Teton National Forest,022,008,FM25,BULL,WY-BTF-022,Bull,WY4332311054020100723,BULL,,2010,204,1300,1.0,Lightning,300,0945,5429.0,G,43.3280556,-110.578889,5.0,USFS,WY,039,039,Teton,Point,2010-07-23,2010-10-27
2527,1434259,FS-1492696,FED,FS-FIRESTAT,FS,USMSMNF,National Forests in Mississippi,0807,National Forests in Mississippi,086,048,EK22,CRIPPLE CHINOOK,MS-MNF-010013,The Crippled Chinook,MS3111308909720101006,CRIPPLE CHINOOK,,2010,279,1706,9.0,Miscellaneous,320,0815,5717.0,G,31.1216667,-89.0766667,5.0,USFS,MS,111,111,Perry,Point,2010-10-06,2010-11-16
2528,1434570,FS-1493410,FED,FS-FIRESTAT,FS,USMIHMF,Huron-Manistee National Forest,0904,Huron-Manistee National Forest,095,095,SD6S,MERIDIAN,MI-MIS-201020001,Meridian Boundary Complex,MI4455308443820100518,MERIDIAN BOUNDARY COMPLEX (MERIDIAN ROAD),MERIDIAN BOUNDARY COMPLEX,2010,138,1331,5.0,Debris Burning,144,1200,8586.0,G,44.5747222,-84.3830556,5.0,USFS,MI,135,135,Oscoda,Point,2010-05-18,2010-05-24
2529,1439991,SFO-2010-MTSOS000009,NONFED,ST-NASF,ST/C&L,USMTSOS,Southern Land Office,MTSOS,Southern Land Office,,,,STUMP GULCH,MT-SOS-000009,Stump Gulch,MT4571310932120100821,STUMP GULCH,,2010,233,,9.0,Miscellaneous,0,,9870.0,G,45.7183,-109.3667,8.0,PRIVATE,MT,Stillwater,095,Stillwater,Point,2010-08-21,
2530,1440295,SFO-2010-NENFS12751,NONFED,ST-NASF,ST/C&L,USNENES,Nebraska Department of Forestry,NENFS,Nebraska Forest Service,,,,,,,,,,2010,103,,11.0,Powerline,0,,6400.0,G,41.34859467,-101.3876724,14.0,MISSING/NOT SPECIFIED,NE,,,,Point,2010-04-13,
2531,1464973,SFO-2010-RFD10-20380465X,NONFED,ST-NASF,ST/C&L,USNMN2S,Cimarron District,NMN2S,Cimarron District,,20380465X,,H12,NM-N2S-038,H12,NM3696310515520100523,H12,,2010,143,,5.0,Debris Burning,0,,5100.0,G,36.9731,-105.1583,8.0,PRIVATE,NM,Colfax,007,Colfax,Point,2010-05-23,
2532,1465269,SFO-2010-MFD10-51290384X,NONFED,ST-NASF,ST/C&L,USNMN5S,Capitan District,NMN5S,Capitan District,,51290384X,,FLINTLOCK,NM-N5S-129,FLINTLOCK,NM3434110348920100411,FLINTLOCK,,2010,101,,1.0,Lightning,0,,5342.0,G,34.2966,-103.4676,8.0,PRIVATE,NM,Roosevelt,041,Roosevelt,Point,2010-04-11,
2533,1465524,SFO-2010-MFD10-50780293X,NONFED,ST-NASF,ST/C&L,USNMN5S,Capitan District,NMN5S,Capitan District,,50780293X,,ETCHEVERY,NM-N5S-078,ETCHEVERY,NM3307110348120100120,ETCHEVERY,,2010,20,,11.0,Powerline,0,,6772.0,G,33.06086,-103.57463,7.0,STATE,NM,Lea,025,Lea,Point,2010-01-20,
2534,1465628,SFO-2010-MFD11-50830196X,NONFED,ST-NASF,ST/C&L,USNMN5S,Capitan District,NMN5S,Capitan District,,50830196X,,HOWARD,NM-N5S-083,HOWARD,NM3372710358020101215,HOWARD,,2010,349,,12.0,Structure,0,,8000.0,G,33.716667,-103.541389,8.0,PRIVATE,NM,Roosevelt,041,Roosevelt,Point,2010-12-15,
2535,1468514,W-613685,FED,DOI-WFMI,BIA,USAKAKA,Alaska Regional Office,AKAKA,Alaska Regional Office,2,,FD6B,TURQUOISE LAKE,AK-SWS-004137,Turquoise Lake,AK6259215372820100517,TURQUOISE LAKE,,2010,137,1815,4.0,Campfire,250,1030,91885.0,G,62.395,-153.5033,7.0,STATE,AK,,,,Point,2010-05-17,2010-09-07
2536,1470736,W-613598,FED,DOI-WFMI,BIA,USORWSA,Warm Springs Agency,ORWSA,Warm Springs Agency,75,,FR5Z,WHITE LIGHTNING,OR-WSA-075,White Lightning Complex,OR4504212118420100818,WHITE LIGHTNING COMPLEX (YOUTHER),WHITE LIGHTNING COMPLEX,2010,230,1435,1.0,Lightning,253,1630,29500.0,G,44.7673,-121.2531,2.0,BIA,OR,,,,Point,2010-08-18,2010-09-10
2539,1472493,W-616886,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FD5Z,TOKLAT,AK-TAD-000128,Toklat,AK6434715059120100604,TOKLAT 2,,2010,136,1712,1.0,Lightning,155,2345,171726.6,G,64.4592,-150.3244,7.0,STATE,AK,,,,Point,2010-05-16,2010-06-04
2540,1472519,W-617517,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FET5,EAGLE TRAIL,AK-TAS-013208,Eagle Trail Fire,AK6342414352720100526,EAGLE TRAIL,,2010,146,1615,1.0,Lightning,170,1900,17934.0,G,63.33,-143.32,7.0,STATE,AK,,,,Point,2010-05-26,2010-06-19
2541,1472521,W-614462,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FET6,APPLEGATE,AK-TAD-000213,Applegate,AK6518915005620100526,APPLEGATE,,2010,146,1720,1.0,Lightning,292,1115,17446.0,G,65.2003,-149.9978,7.0,STATE,AK,,,,Point,2010-05-26,2010-10-19
2542,1472527,W-614603,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FEU3,CHITANATALA,AK-TAD-000222,Chitanatala,AK6475415175720100526,CHITANATALA,,2010,146,2028,1.0,Lightning,292,1115,36633.0,G,64.7561,-151.7731,7.0,STATE,AK,,,,Point,2010-05-26,2010-10-19
2543,1472528,W-605269,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FEV7,MYSTERY,AK-SWS-73004228,MYSTERY,AK6342915456920100527,MYSTERY,,2010,147,0835,1.0,Lightning,197,1615,18952.0,G,63.4317,-154.5206,1.0,BLM,AK,,,,Point,2010-05-27,2010-07-16
2544,1472536,W-614836,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FEX0,CASCADEN RIDGE,AK-TAD-000240,Cascaden Ridge,AK6538814899120100527,CASCADEN RIDGE,,2010,147,1800,1.0,Lightning,292,1115,15178.0,G,65.4133,-148.9936,1.0,BLM,AK,,,,Point,2010-05-27,2010-10-19
2545,1472539,W-606152,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FEX1,JEANNES LAKE,AK-TAD-000241,Jeannes Lake,AK6434715059120100604,TOKLAT 2,,2010,147,1953,1.0,Lightning,154,0800,17080.6,G,64.1108,-151.3828,1.0,BLM,AK,,,,Point,2010-05-27,2010-06-03
2546,1472549,W-606654,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FE1N,SLOKENJIKH,AK-TAD-000266,Slokenjikh,AK6592415248120100529,SLOKENJIKH RIVER,,2010,149,1240,1.0,Lightning,165,2100,10682.0,G,65.9083,-152.5167,1.0,BLM,AK,,,,Point,2010-05-29,2010-06-14
2547,1472550,W-605201,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FE12,LONE MOUNTAIN,AK-SWS-73004276,Lone Mountain,AK6244215459120100529,LONE MOUNTAIN,,2010,149,1340,1.0,Lightning,197,1725,51996.0,G,62.4794,-154.7486,1.0,BLM,AK,,,,Point,2010-05-29,2010-07-16
2548,1472557,W-603210,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FE4A,BULL CREEK,AK-UYD-000302,Bull Creek,AK6599814113120100531,BULL CREEK,,2010,151,1740,1.0,Lightning,176,1711,41911.4,G,65.9667,-141.1167,1.0,BLM,AK,,,,Point,2010-05-31,2010-06-25
2549,1472559,W-605266,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FE4D,HAWK RIVER,AK-SWS-004305,Hawk River,AK6042816107220100531,HAWK RIVER,,2010,151,1926,1.0,Lightning,188,1600,10766.0,G,60.4833,-161.0833,4.0,FWS,AK,,,,Point,2010-05-31,2010-07-07
2550,1472564,W-614445,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FE6V,BIG MOUNTAIN,AK-UYD-000324,Big Mountain,AK6628814168420100602,BIG MOUNTAIN,,2010,153,1752,1.0,Lightning,239,1306,83746.0,G,66.3211,-141.755,1.0,BLM,AK,,,,Point,2010-06-02,2010-08-27
2551,1472615,W-602747,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FFZ2,SIDIK LAKE,AK-GAD-000398,Sidik Lake,AK6812515887120100610,SIDIK LAKE,,2010,161,1800,1.0,Lightning,172,1930,18189.0,G,68.1431,-158.9447,3.0,NPS,AK,,,,Point,2010-06-10,2010-06-21
2552,1472616,W-617344,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FFZ3,WILLOW CREEK,AK-MID-000399,Willow Creek,AK6469614793420100610,WILLOW CREEK,,2010,161,1915,1.0,Lightning,365,2359,13766.0,G,64.7061,-148.0978,6.0,OTHER FEDERAL,AK,,,,Point,2010-06-10,2010-12-31
2553,1472647,W-614873,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG1B,TAKHAKHDONA HILLS,AK-GAD-000458,Takhakdona Hills,AK6558715504820100623,TAKHAKHDONA HILLS,,2010,174,1440,1.0,Lightning,294,1500,5902.0,G,65.6003,-155.0297,4.0,FWS,AK,,,,Point,2010-06-23,2010-10-21
2554,1472651,W-614003,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG1H,DERBY CREEK,AK-GAD-000461,Derby Creek,AK6590015885920100623,DERBY CREEK,,2010,174,1540,1.0,Lightning,207,1415,23577.0,G,65.9056,-158.8144,1.0,BLM,AK,,,,Point,2010-06-23,2010-07-26
2555,1472655,W-612906,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG1G,MONTANA CREEK,AK-GAD-000460,Montana Creek,AK6583316237420100623,MONTANA CREEK,,2010,174,1700,1.0,Lightning,181,1100,6038.0,G,65.8125,-162.4153,7.0,STATE,AK,,,,Point,2010-06-23,2010-06-30
2556,1472675,W-616493,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG14,LOUIE CREEK,AK-GAD-000476,Louie Creek,AK6556415661920100623,LOUIE CREEK,,2010,174,2120,1.0,Lightning,264,1915,17837.0,G,65.5775,-156.6814,9.0,TRIBAL,AK,,,,Point,2010-06-23,2010-09-21
2557,1472679,W-606181,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG35,RABBIT CREEK 2,,,AK6661215787020100624,RABBIT CREEK 2,,2010,175,1340,1.0,Lightning,191,1230,5544.0,G,66.5953,-157.8956,4.0,FWS,AK,,,,Point,2010-06-24,2010-07-10
2558,1472680,W-605535,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG34,KILIOVILIK CREEK,AK-GAD-000490,Kiliovilik Creek,AK6659615750720100624,KILIOVILIK CREEK,,2010,175,1348,1.0,Lightning,196,1214,17207.0,G,66.5956,-157.5141,1.0,BLM,AK,,,,Point,2010-06-24,2010-07-15
2559,1472681,W-614991,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FG29,YUKI RIVER,AK-GAD-000488,Yuki River,AK6446115616220100624,YUKI RIVER,,2010,175,1403,1.0,Lightning,294,1500,9383.0,G,64.435,-156.1822,7.0,STATE,AK,,,,Point,2010-06-24,2010-10-21
2560,1472705,W-606852,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FH6L,EVAINGIKNUK,AK-GAD-000550,Evaingiknuk,AK6791116259720100701,EVAINGIKNUK,,2010,182,1617,1.0,Lightning,207,1720,5298.0,G,67.9025,-162.6583,7.0,STATE,AK,,,,Point,2010-07-01,2010-07-26
2561,1472726,W-611965,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FH6Y,ROK NORTH,AK-GAD-000554,Rok North,AK6813516153820100702,ROK NORTH,,2010,183,1147,1.0,Lightning,207,1740,13106.0,G,68.1436,-161.5628,3.0,NPS,AK,,,,Point,2010-07-02,2010-07-26
2562,1472741,W-614775,FED,DOI-WFMI,BLM,USAKASO,Alaska State Office,AKAFS,Alaska Fire Service,,,FJH1,ELI RIVER,AK-GAD-000573,Eli River,AK6762116250420100703,ELI RIVER,,2010,184,1913,1.0,Lightning,192,1900,13216.0,G,67.6433,-162.4861,3.0,NPS,AK,,,,Point,2010-07-03,2010-07-11
2563,1473198,W-605544,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,,FN6C,CROWN,CA-LAC-10169202,CROWN,CA3457611822820100729,CROWN,,2010,210,1432,2.0,Equipment Use,215,2200,13918.0,G,34.5453,-118.2814,1.0,BLM,CA,Los Angeles,037,Los Angeles,Point,2010-07-29,2010-08-03
2564,1473423,W-612584,FED,DOI-WFMI,BLM,USCANOD,Northern California District,CANOD,Northern California District,,,FNP8,MCDONALD,CA-NOD-3688,MCDONALD (W-23),CA4094712034320100726,MCDONALD,,2010,207,1545,1.0,Lightning,222,1800,9408.0,G,40.9164,-120.3997,1.0,BLM,CA,Lassen,035,Lassen,Point,2010-07-26,2010-08-10
2565,1473482,W-614089,FED,DOI-WFMI,BLM,USCORGD,Royal Gorge Field Office,COCCD,Canon City District,,,FUL0,FOURMILE CANYON,CO-BLX-000321,Fourmile Canyon,CO4005110538520100906,FOURMILE CANYON,,2010,249,1000,5.0,Debris Burning,265,1800,6382.1,G,40.03919,-105.39331,8.0,PRIVATE,CO,Boulder,013,Boulder,Point,2010-09-06,2010-09-22
2566,1473654,W-613936,FED,DOI-WFMI,BLM,USCOCRD,Northwest District,COCRD,"Western Slope Center, Craig",,,FR6D,ALKALI,CO-MFX-505,ALKALI,CO4066910805620100818,ALKALI,,2010,230,1615,1.0,Lightning,234,1800,7917.0,G,40.6831,-108.0619,8.0,PRIVATE,CO,Moffat,081,Moffat,Point,2010-08-18,2010-08-22
2567,1474288,W-606876,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBRD,Bruneau Field Office,,,FP5T,CROWBAR,ID-BOD-000556,CROWBAR,ID4272911585620100805,CROWBAR,,2010,217,1741,1.0,Lightning,219,1800,29508.0,G,42.68615,-115.74429,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2010-08-05,2010-08-07
2568,1474314,W-607268,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDBUD,Burley Field Office,,,FQB3,BEAR TRAP,ID-TFD-000345,Bear Trap,ID4291911343320100806,BEAR TRAP,,2010,218,1701,1.0,Lightning,220,1800,7261.0,G,42.91,-113.4381,1.0,BLM,ID,Blaine,013,Blaine,Point,2010-08-06,2010-08-08
2569,1474317,W-607811,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDBUD,Burley Field Office,,,FSF6,MULE CREEK,ID-TWX-000384,Mule Creek,ID4206211454420100820,MULE CREEK,,2010,232,1314,2.0,Equipment Use,234,1900,13745.0,G,42.0094,-114.6083,8.0,PRIVATE,ID,Twin Falls,083,Twin Falls,Point,2010-08-20,2010-08-22
2570,1474372,W-613321,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDFRD,Four Rivers Field Office,,,FTF6,HOT TEA,ID-BOD-796,HOT TEA,ID4319511544720100827,HOT TEA,,2010,239,0650,1.0,Lightning,244,1200,5409.0,G,43.21827,-115.46861,1.0,BLM,ID,Elmore,039,Elmore,Point,2010-08-27,2010-09-01
2571,1474384,W-612817,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,FK7J,JEFFERSON,ID-INE-010010,Jefferson,ID4367911257020100713,JEFFERSON,,2010,194,1414,9.0,Miscellaneous,201,1800,108855.0,G,43.52969,-112.88078,6.0,OTHER FEDERAL,ID,Butte,023,Butte,Point,2010-07-13,2010-07-20
2572,1474397,W-614010,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDIFD,Idaho Falls District,,,FTK9,MIDDLE BUTTE,ID-INE-010027,Middle Butte,ID4349311269920100827,MIDDLE BUTTE,,2010,239,1327,2.0,Equipment Use,241,1900,14058.0,G,43.4486,-112.78739,1.0,BLM,ID,Bingham,011,Bingham,Point,2010-08-27,2010-08-29
2573,1474404,W-603197,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,FHS1,SAILOR CREEK,ID-MHQ-000159,Sailor Creek,ID4274611566920100629,SAILOR CREEK,,2010,180,1517,1.0,Lightning,182,1800,9837.0,G,42.7225,-115.6108,6.0,OTHER FEDERAL,ID,Owyhee,073,Owyhee,Point,2010-06-29,2010-07-01
2574,1474405,W-603198,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,FHT8,BLACK BUTTE,ID-TFD-000160,Black Butte,ID4267711550920100629,BLACK BUTTE,,2010,180,1518,1.0,Lightning,181,1900,16126.0,G,42.6744,-115.4317,1.0,BLM,ID,Owyhee,073,Owyhee,Point,2010-06-29,2010-06-30
2575,1474413,W-607062,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,FP9M,BIG DRAW,ID-MHQ-000342,Big Draw,ID4261811562420100806,BIG DRAW,,2010,218,1444,1.0,Lightning,220,1900,12389.0,G,42.6728,-115.6492,6.0,OTHER FEDERAL,ID,Owyhee,073,Owyhee,Point,2010-08-06,2010-08-08
2576,1474416,W-610351,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDJRD,Jarbidge Field Office,,,FSS1,LONG BUTTE,ID-TFD-100249,Long Butte,ID4275711507020100821,LONG BUTTE,,2010,233,1515,1.0,Lightning,245,2200,306113.0,G,42.605,-115.5397,1.0,BLM,ID,Elmore,039,Elmore,Point,2010-08-21,2010-09-02
2577,1474450,W-613016,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,FP6Q,ROOSTER ROCK,ID-FHA-010010,Rooster Rock,ID4277411269220100805,ROOSTER ROCK,,2010,217,2043,1.0,Lightning,222,0849,12474.0,G,42.7372,-112.6608,9.0,TRIBAL,ID,Power,077,Power,Point,2010-08-05,2010-08-10
2578,1474454,W-612081,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office,,,FSQ9,BOWEN,ID-2PN-010026,Bowen,ID4254111250320100821,BOWEN,,2010,233,1534,2.0,Equipment Use,242,2000,6663.0,G,42.4978,-112.5239,1.0,BLM,ID,Power,077,Power,Point,2010-08-21,2010-08-30
