OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,DISCOVERY_DATE_CONVERTED,CONT_DATE_CONVERTED,BURNING_DAYS,STATE_NAME
171,21933,FS-1452642,FED,FS-FIRESTAT,FS,USORUMF,Umatilla National Forest,0614,Umatilla National Forest,25,,DQL9,RED HILL,OR-UMF-000090,Monument Complex,OR4495611940720070712,MONUMENT COMPLEX (RED HILL FIRE),MONUMENT COMPLEX,2007,194,0900,1.0,Lightning,219,2000,53448.0,G,45.01527778,-119.44972222,5.0,USFS,OR,49,049,Morrow,Point,2007-07-13,2007-08-07,25.0,Oregon
174,21513,FS-1452101,FED,FS-FIRESTAT,FS,USORMAF,Malheur National Forest,0604,Malheur National Forest,90,23,C8JW,BEAR CANYON FIRE,OR-BFZ-7148,Egley Complex,OR4382211938920070706,EGLEY COMPLEX (EGLEY),EGLEY COMPLEX,2007,188,0616,1.0,Lightning,236,1745,52891.0,G,43.86666667,-119.46472222,5.0,USFS,OR,25,025,Harney,Point,2007-07-07,2007-08-24,48.0,Oregon
182,201110333,W-630594,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,GE7F,0655 RAZOR BACK EAST,OR-WSA-000108,High Cascades,OR4503712107920110824,0655RAZORBACKEAST,HIGH CASCADES COMPLEX,2011,236,1900,1.0,Lightning,290,1200,51384.0,G,45.0369,-121.0789,2.0,BIA,OR,Wasco,065,Wasco,Point,2011-08-24,2011-10-17,54.0,Oregon
187,300222505,SFO-2015ORODF1597202316,NONFED,ST-NASF,ST/C&L,USORORS,Oregon Department of Forestry State Headquarters,ORODF,Oregon Department of Forestry,,1597202316,,WINDY RIDGE (VALE #163),,,OR4458511775220150810,CORNET-WINDY RIDGE,CORNET-WINDY RIDGE COMPLEX,2015,223,1008,1.0,Lightning,294,0810,49100.0,G,44.505,-117.64306,15.0,UNDEFINED FEDERAL,OR,Baker,001,Baker,Point,2015-08-11,2015-10-21,71.0,Oregon
192,300215618,W-685311,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,J099,POLE GULCH,2899826,Pole Gulch,OR4398911806120150811,BENDIRE COMPLEX,BENDIRE COMPLEX,2015,222,1840,1.0,Lightning,259,1530,48849.8,G,43.9336,-118.5086,1.0,BLM,OR,Malheur,045,Malheur,Point,2015-08-10,2015-09-16,37.0,Oregon
196,151195,FS-378195,FED,FS-FIRESTAT,FS,USORUPF,Umpqua National Forest,0615,Umpqua National Forest,8,,7406,BOULDER,OR-UPF-069,TILLER COMPLEX,OR4311312273420020713,BOULDER,TILLER COMPLEX,2002,194,0929,1.0,Lightning,276,1800,48079.6,G,43.09777778,-122.73666667,5.0,USFS,OR,19,019,Douglas,Point,2002-07-13,2002-10-03,82.0,Oregon
200,352121,W-552709,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,DW6N,IRISH SPRING,OR-VAD-184,Irish Spring,OR4419011809820070817,IRISH SPRING,,2007,229,1340,9.0,Miscellaneous,250,1630,47860.1,G,44.085182,-118.196433,1.0,BLM,OR,Malheur,045,Malheur,Point,2007-08-17,2007-09-07,21.0,Oregon
205,348920,W-537568,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,C4UB,GRANDDAD,OR-BUD-2500,South End Complex,OR4283411875920060821,GRANDDAD,SOUTH END COMPLEX,2006,233,1753,7.0,Arson,248,1800,46522.7,G,42.8374,-118.8299,1.0,BLM,OR,Harney,025,Harney,Point,2006-08-21,2006-09-05,15.0,Oregon
206,201778121,W-663185,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,HM3X,OWYHEE,OR-VAD-043,Owyhee,OR4361211717120130701,OWYHEE,,2013,182,2111,1.0,Lightning,189,1800,46444.6,G,43.6122,-117.1711,1.0,BLM,OR,Malheur,045,Malheur,Point,2013-07-01,2013-07-08,7.0,Oregon
224,352060,W-536665,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,C4S4,STAR MTN,OR-VAD-222,Star Mountain,OR4337611779920060821,STAR MOUNTAIN,,2006,233,1517,1.0,Lightning,239,1900,43545.0,G,43.362686,-117.980891,1.0,BLM,OR,Malheur,045,Malheur,Point,2006-08-21,2006-08-27,6.0,Oregon
231,351837,W-109224,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,N245,TRIMBLY CR,OR-VAD-120,Trimbly Creek,OR4346511704020020713,TRIMBLY CREEK,,2002,194,1850,1.0,Lightning,198,1623,42543.0,G,43.4649,-117.0727,1.0,BLM,OR,Malheur,045,Malheur,Point,2002-07-13,2002-07-17,4.0,Oregon
240,348655,W-105297,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,M381,SHEEPSHEAD,OR-BUD-2315,Sheepshead Complex,OR4298911817020010809,SHEEPSHEAD,SHEEPSHEAD COMPLEX,2001,221,1748,1.0,Lightning,232,1800,41123.5,G,42.4888,-118.2254,1.0,BLM,OR,Harney,025,Harney,Point,2001-08-09,2001-08-20,11.0,Oregon
267,300005795,FS-1523440,FED,FS-FIRESTAT,FS,USORWWF,Wallowa-Whitman National Forest,0616,Wallowa-Whitman National For,057,793,JA1W,SOMERS,759101,SOMERS,OR4562411652120140804,SOMERS,,2014,215,1715,1.0,Lightning,241,1800,36185.0,G,45.62833333,-116.52111111,5.0,USFS,OR,Wallowa,063,Wallowa,Point,2014-08-03,2014-08-29,26.0,Oregon
271,300024393,W-674883,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,H8PH,0358 BLACK ROCK,651395,BLACK ROCK,OR4499212060520140714,BLACK ROCK,,2014,195,1330,1.0,Lightning,225,1200,35724.0,G,44.9783,-120.6333,8.0,PRIVATE,OR,Wasco,065,Wasco,Point,2014-07-14,2014-08-13,30.0,Oregon
278,300023949,W-675032,FED,DOI-WFMI,BLM,USORMED,Medford District,ORMED,Medford District,,,JAM0,OREGON GULCH,738768,BEAVER COMPLEX,OR4204812234620140731,BEAVER COMPLEX,BEAVER COMPLEX,2014,211,2102,1.0,Lightning,241,2000,35129.0,G,42.0478,-122.345,8.0,PRIVATE,OR,Klamath,035,Klamath,Point,2014-07-30,2014-08-29,30.0,Oregon
281,349280,W-95736,FED,DOI-WFMI,BLM,USORLAD,Lakeview District,ORLAD,Lakeview District,,,M102,BEATYBUTTE,OR-LAD-142,Beaty Butte,OR4241811931120000712,BEATY BUTTE,,2000,194,1234,1.0,Lightning,199,1200,35000.0,G,42.3521,-119.3516,1.0,BLM,OR,Lake,037,Lake,Point,2000-07-12,2000-07-17,5.0,Oregon
293,155834,FS-383134,FED,FS-FIRESTAT,FS,USORFWF,Fremont-Winema National Forest,0602,Fremont-Winema National Forest,177,,1272,WINTER,OR-98S-177,WINTER FIRE,OR4283012081520020712,GRIZZLY COMPLEX (WINTER),TOOLBOX COMPLEX,2002,193,2300,1.0,Lightning,304,1200,33894.0,G,42.74888889,-120.68333333,14.0,MISSING/NOT SPECIFIED,OR,37,037,Lake,Point,2002-07-12,2002-10-31,111.0,Oregon
305,351849,W-110289,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,N258,ATKINS BTE,OR-VAD-141,Atkins,OR4337011723120020715,MAHOGANY COMPLEX (ATKINS BUTTE),MAHOGANY COMPLEX,2002,196,2000,1.0,Lightning,202,2000,32812.0,G,43.3943,-117.2002,1.0,BLM,OR,Malheur,045,Malheur,Point,2002-07-15,2002-07-21,6.0,Oregon
308,860972,ODF-61797,NONFED,ST-ORORS,ST/C&L,USOR952S,John Day Unit,ORODF-952,John Day Unit,050,61797,,MONUMENT COMPLEX,OR-ORS-3050,Monument Complex,OR4493111934520010812,MONUMENT COMPLEX (MALLORY),MONUMENT COMPLEX,2001,225,,1.0,Lightning,237,,32352.0,G,44.92744,-119.44375,8.0,PRIVATE,OR,12,023,Grant,Point,2001-08-13,2001-08-25,12.0,Oregon
309,348973,W-548870,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,DNG9,BARTLETT MOUNTAIN,OR-BUD-7140,Bartlett Mountain,OR4371211834420070706,BARTLETT MOUNTAIN,,2007,187,1601,1.0,Lightning,203,1343,32312.4,G,43.7764,-118.3369,1.0,BLM,OR,Harney,025,Harney,Point,2007-07-06,2007-07-22,16.0,Oregon
317,25799,FS-1457233,FED,FS-FIRESTAT,FS,USORMAF,Malheur National Forest,0604,Malheur National Forest,151,054,DN0P,SILVER FIRE,OR-BFZ-7148,Egley Complex,OR4382211938920070706,EGLEY COMPLEX (EGLEY),EGLEY COMPLEX,2007,188,1230,1.0,Lightning,238,1157,31624.7,G,43.855,-119.68166667,5.0,USFS,OR,25,025,Harney,Point,2007-07-07,2007-08-26,50.0,Oregon
327,352091,W-549438,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,DNQ1,CLARK BUTTE,OR-VAD-069,Clark Butte,OR4300811741020070706,CLARK BUTTE,,2007,187,1917,1.0,Lightning,193,2030,31046.6,G,43.05325,-117.467575,1.0,BLM,OR,Malheur,045,Malheur,Point,2007-07-06,2007-07-12,6.0,Oregon
337,300024388,W-674884,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,H8FZ,0368 PINE CREEK,639393,PINE CREEK,OR4483512025020140714,PINE CREEK,,2014,195,1800,1.0,Lightning,225,1200,30251.0,G,44.7947,-120.3267,8.0,PRIVATE,OR,Wheeler,069,Wheeler,Point,2014-07-14,2014-08-13,30.0,Oregon
346,300204664,FS-6353875,FED,FS-FIRESTAT,FS,USOROCF,Ochoco National Forest,0607,Ochoco National Forest,023,2-011,JU9E,0297  CORNER CREEK,2804734,CORNER CREEK 0297 PR,OR4431411958420150629,CORNER CREEK 0297 PR,,2015,180,1717,1.0,Lightning,282,1320,29660.0,G,44.00305556,-119.00583333,5.0,USFS,OR,023,023,Grant,Point,2015-06-29,2015-10-09,102.0,Oregon
359,350539,W-113953,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,N483,WHITERVER,OR-PRD-1002,White River,OR4524012097820020723,WHITE RIVER,,2002,204,1900,1.0,Lightning,210,2200,28500.0,G,45.2362,-121.0667,1.0,BLM,OR,Wasco,065,Wasco,Point,2002-07-23,2002-07-29,6.0,Oregon
363,352101,W-552728,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,DP9H,JUNIPER RESERVOIR,OR-VAD-096,Juniper Reservoir,OR4382511810020070713,JUNIPER RESERVOIR,,2007,194,1100,1.0,Lightning,212,1930,28333.0,G,43.83148,-118.099622,1.0,BLM,OR,Malheur,045,Malheur,Point,2007-07-13,2007-07-31,18.0,Oregon
372,1273487,FS-377128,FED,FS-FIRESTAT,FS,USORRSF,Rogue River-Siskiyou National Forest,0610,Rogue River-Siskiyou National Forest,30,,5315,TIMBERED ROCK,711060,TIMBERED ROCK,OR4277812272720020713,TIMBERED ROCK,,2002,194,0130,1.0,Lightning,257,1900,27350.8,G,42.82277778,-122.73833333,14.0,MISSING/NOT SPECIFIED,OR,029,029,Jackson,Point,2002-07-13,2002-09-14,63.0,Oregon
373,300023293,W-676776,FED,DOI-WFMI,BLM,USORBUD,Burns District,ORBUD,Burns District,,,H8C8,BEAVER CREEK,634216,BEAVER CREEK,OR4325911851220140714,BEAVER CREEK,BUZZARD COMPLEX,2014,195,0553,1.0,Lightning,246,1800,27337.0,G,43.6161,-118.4256,1.0,BLM,OR,Harney,025,Harney,Point,2014-07-14,2014-09-03,51.0,Oregon
380,201435238,FS-1510212,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,122,5-027,G7ZZ,0537  POLE CREEK,OR-DEF-000537,POLE CREEK,OR4417812169920120909,POLE CREEK,,2012,253,0952,1.0,Lightning,291,1800,26795.0,G,44.175,-121.69527778,5.0,USFS,OR,017,017,Deschutes,Point,2012-09-09,2012-10-17,38.0,Oregon
383,300215511,W-687639,FED,DOI-WFMI,BLM,USORROD,Roseburg District,ORROD,Roseburg District,,,J0GW,STOUTS CR,2749560,STOUTS CREEK,OR4292412304820150730,STOUTS CREEK,,2015,211,1250,2.0,Equipment Use,302,1600,26452.2,G,42.9214,-123.0492,1.0,BLM,OR,Douglas,019,Douglas,Point,2015-07-30,2015-10-29,91.0,Oregon
385,300024413,W-675174,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,H9WC,0539 SNIPTION,726899,SNIPTION,OR4523612034820140729,SNIPTION,,2014,210,1530,2.0,Equipment Use,225,1200,25937.0,G,45.2355,-120.3497,8.0,PRIVATE,OR,Gilliam,021,Gilliam,Point,2014-07-29,2014-08-13,15.0,Oregon
393,352141,W-579580,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,D9FD,JACKIES BUTTE,OR-VAD-039,Jackies Butte,OR4257311756820080630,JACKIES BUTTE,,2008,182,1547,1.0,Lightning,187,1200,25491.0,G,42.6025,-117.58829,1.0,BLM,OR,Malheur,045,Malheur,Point,2008-06-30,2008-07-05,5.0,Oregon
426,201778154,W-663278,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,HUG5,CEDAR MOUNTAIN,OR-VAD-0140,Cedar Mountain,OR4325611768420130808,CEDAR MOUNTAIN,,2013,220,1930,1.0,Lightning,231,1750,23948.0,G,43.2561,-117.6833,1.0,BLM,OR,Malheur,045,Malheur,Point,2013-08-08,2013-08-19,11.0,Oregon
450,300024395,W-674882,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,H8R6,0319 DONNY BROOK,672209,DONNYBROOK,OR4471312061120140713,DONNYBROOK,,2014,194,1900,1.0,Lightning,225,1200,22760.0,G,44.7128,-120.6111,8.0,PRIVATE,OR,Jefferson,031,Jefferson,Point,2014-07-13,2014-08-13,31.0,Oregon
459,351954,W-513974,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,B2EY,DOUBLE MTN,OR-VAD-000241,Double Mountain,OR4385911735820050728,DOUBLE MOUNTAIN,,2005,209,1000,1.0,Lightning,212,1800,22095.0,G,43.895693,-117.36873,1.0,BLM,OR,Malheur,045,Malheur,Point,2005-07-28,2005-07-31,3.0,Oregon
469,201508236,W-649062,FED,DOI-WFMI,BLM,USORLAD,Lakeview District,ORLAD,Lakeview District,,,G3E4,LAVA,OR-LAD-120656,Lava,OR4348912075720120723,LAVA,,2012,205,1120,1.0,Lightning,269,1455,21546.0,G,43.4892,-120.7569,1.0,BLM,OR,Lake,037,Lake,Point,2012-07-23,2012-09-25,64.0,Oregon
477,32926,FS-1473564,FED,FS-FIRESTAT,FS,USORRSF,Rogue River-Siskiyou National Forest,0610,Rogue River-Siskiyou National Forest,44,08246,EG5R,MIDDLE FORK,OR-RRF-000229,Lonesome Complex,OR4277912225220080816,MIDDLE FORK COMPLEX,LONESOME COMPLEX,2008,231,0959,1.0,Lightning,284,1800,21125.0,G,42.71916667,-122.25611111,5.0,USFS,OR,35,035,Klamath,Point,2008-08-18,2008-10-10,53.0,Oregon
486,300222455,SFO-2015ORODF1597202216,NONFED,ST-NASF,ST/C&L,USORORS,Oregon Department of Forestry State Headquarters,ORODF,Oregon Department of Forestry,,1597202216,,ELDORADO,2925355,Eldorado,OR4432311810120150814,ELDORADO,,2015,226,0508,1.0,Lightning,271,1009,20621.0,G,44.31917,-118.1025,15.0,UNDEFINED FEDERAL,OR,Baker,001,Baker,Point,2015-08-14,2015-09-28,45.0,Oregon
496,351159,W-575922,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,D9J0,0250 JACK KNIFE,OR-PRD-0250,Jack Knife,OR4527012060220080701,JACK KNIFE,,2008,183,0902,1.0,Lightning,190,1800,20115.0,G,45.3094,-120.5958,8.0,PRIVATE,OR,Sherman,055,Sherman,Point,2008-07-01,2008-07-08,7.0,Oregon
503,32408,FS-1472951,FED,FS-FIRESTAT,FS,USORUPF,Umpqua National Forest,0615,Umpqua National Forest,69,3071,EH06,RATTLE,OR-UPF-008209,Rattle,OR4334712249520080817,RATTLE,NORTH FORK COMPLEX,2008,231,0919,1.0,Lightning,297,0800,19775.0,G,43.32944444,-122.54388889,5.0,USFS,OR,19,019,Douglas,Point,2008-08-18,2008-10-23,66.0,Oregon
505,1278141,W-99432,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,,HORN BUTTE,,,OR4566912001020000722,HORN BUTTE,,2000,204,1600,9.0,Miscellaneous,205,2000,19650.0,G,45.401,-120.0823,1.0,BLM,OR,Gilliam,021,Gilliam,Point,2000-07-22,2000-07-23,1.0,Oregon
513,201508678,W-649501,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,G67L,DANNER LOOP 2,OR-VAD-000157,Danner Loop 2,OR4297111722420120828,DANNER LOOP 2,,2012,241,1645,2.0,Equipment Use,248,1830,19448.8,G,43.011794,-117.195384,1.0,BLM,OR,Malheur,045,Malheur,Point,2012-08-28,2012-09-04,7.0,Oregon
520,351701,W-97696,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District,,,N051,WHITE MULE,OR-VAD-131,White Mule,OR4258911749420000803,WHITE MULE,,2000,216,1346,1.0,Lightning,217,2200,19117.5,G,42.5582,-117.5529,1.0,BLM,OR,Malheur,045,Malheur,Point,2000-08-03,2000-08-04,1.0,Oregon
527,350358,W-104927,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District,,,N535,FERRY CYN,OR-PRD-724,Grass Valley Complex,OR4538112089420010712,FERRY CANYON,GRASS VALLEY COMPLEX,2001,193,1700,1.0,Lightning,197,1800,18559.0,G,45.3954,-120.9448,1.0,BLM,OR,Wasco,065,Wasco,Point,2001-07-12,2001-07-16,4.0,Oregon
545,300235579,SFO-2015ORODF1597202616,NONFED,ST-NASF,ST/C&L,USORORS,Oregon Department of Forestry State Headquarters,ORODF,Oregon Department of Forestry,,1597202616,,DRY GULCH,,,OR4483511722120150912,DRY GULCH,,2015,255,1509,4.0,Campfire,294,0010,17823.0,G,44.8346,-117.2206,8.0,PRIVATE,OR,Baker,001,Baker,Point,2015-09-12,2015-10-21,39.0,Oregon
550,151258,FS-378258,FED,FS-FIRESTAT,FS,USORUPF,Umpqua National Forest,0615,Umpqua National Forest,50,,7411,APPLE,OR-UPF-088,APPLE,OR4328712265220020816,APPLE,,2002,228,1035,9.0,Miscellaneous,274,1700,17600.0,G,43.28472222,-122.68361111,5.0,USFS,OR,19,019,Douglas,Point,2002-08-16,2002-10-01,46.0,Oregon
